epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.373,1.09175,0.64085,0.90929,0.87505,0.83363,0.91004,0.65568,0.89074,0.57311,0.95156,0.000277454,0.000277454,0.000277454
2,275.079,1.09142,0.65352,0.90893,0.86551,0.82247,0.87502,0.63894,0.8961,0.6322,0.94678,0.000536802,0.000536802,0.000536802
3,409.106,1.11717,0.66874,0.91603,0.91184,0.83731,0.90795,0.66147,0.8704,0.57213,0.95535,0.000777823,0.000777823,0.000777823
4,543.15,1.09446,0.6408,0.90731,0.88474,0.83014,0.90833,0.66257,0.87093,0.5543,0.94774,0.000750533,0.000750533,0.000750533
5,677.353,1.07858,0.61159,0.90415,0.90963,0.87014,0.92607,0.67437,0.86886,0.53346,0.94561,0.000723044,0.000723044,0.000723044
6,813.012,1.05862,0.58919,0.89892,0.89205,0.84394,0.91117,0.67212,0.83841,0.56379,0.93712,0.000695555,0.000695555,0.000695555
7,946.574,1.04136,0.56962,0.89493,0.92668,0.85646,0.92705,0.67419,0.85037,0.50361,0.94057,0.000668066,0.000668066,0.000668066
8,1082.55,1.02838,0.55629,0.89342,0.87586,0.86158,0.92248,0.67564,0.85096,0.5197,0.94466,0.000640577,0.000640577,0.000640577
9,1219.84,1.0147,0.54418,0.88996,0.91087,0.84979,0.91785,0.67927,0.83547,0.52545,0.93505,0.000613088,0.000613088,0.000613088
10,1355.49,1.00797,0.53221,0.88701,0.91499,0.84149,0.92222,0.68378,0.82738,0.51392,0.93412,0.000585599,0.000585599,0.000585599
11,1491.53,0.99523,0.51924,0.88401,0.91975,0.87657,0.93152,0.68354,0.83497,0.4843,0.93488,0.00055811,0.00055811,0.00055811
12,1632.75,0.97938,0.51173,0.88078,0.91025,0.85318,0.92206,0.68083,0.83643,0.49242,0.93749,0.000530621,0.000530621,0.000530621
13,1776.96,0.97184,0.50302,0.88036,0.90648,0.86746,0.92723,0.69577,0.81649,0.48092,0.92971,0.000503132,0.000503132,0.000503132
14,1915.93,0.96541,0.49378,0.87744,0.92724,0.86677,0.92893,0.69232,0.8171,0.48286,0.93123,0.000475643,0.000475643,0.000475643
15,2048.14,0.95037,0.48015,0.87529,0.92064,0.87154,0.92821,0.69025,0.82385,0.48695,0.93206,0.000448154,0.000448154,0.000448154
16,2180.88,0.94547,0.47684,0.87426,0.92099,0.88929,0.93951,0.70207,0.80566,0.45368,0.92428,0.000420665,0.000420665,0.000420665
17,2312.27,0.93734,0.46775,0.87275,0.9253,0.87548,0.93841,0.69769,0.80783,0.45666,0.92472,0.000393176,0.000393176,0.000393176
18,2444.64,0.92795,0.46065,0.86992,0.93303,0.88497,0.93629,0.69881,0.80428,0.44753,0.92392,0.000365687,0.000365687,0.000365687
19,2578.28,0.9181,0.45543,0.86808,0.91122,0.87769,0.92986,0.69422,0.81305,0.45938,0.92906,0.000338198,0.000338198,0.000338198
20,2710.91,0.90806,0.4486,0.86587,0.93242,0.88997,0.94234,0.70264,0.80828,0.44714,0.92473,0.000310709,0.000310709,0.000310709
21,2845.97,0.91047,0.43542,0.86617,0.92725,0.90397,0.94461,0.69943,0.80412,0.43633,0.92602,0.00028322,0.00028322,0.00028322
22,2978.78,0.89454,0.42412,0.86339,0.93011,0.88425,0.93335,0.69446,0.80948,0.45286,0.92872,0.000255731,0.000255731,0.000255731
23,3111.67,0.88164,0.41566,0.86204,0.93678,0.86421,0.93288,0.69698,0.8082,0.46954,0.92734,0.000228242,0.000228242,0.000228242
24,3246.78,0.87242,0.40877,0.85856,0.91188,0.8893,0.93847,0.69808,0.80925,0.44964,0.92687,0.000200753,0.000200753,0.000200753
25,3385.8,0.86226,0.40097,0.85653,0.9203,0.87646,0.92958,0.69413,0.80336,0.46645,0.92698,0.000173264,0.000173264,0.000173264
26,3524.5,0.85092,0.39253,0.85461,0.91962,0.87418,0.93259,0.69148,0.80655,0.46868,0.9298,0.000145775,0.000145775,0.000145775
27,3660.56,0.84298,0.38672,0.85247,0.92312,0.87652,0.9304,0.6928,0.8072,0.46977,0.92986,0.000118286,0.000118286,0.000118286
28,3796.16,0.8297,0.37847,0.85207,0.94267,0.86463,0.92769,0.68897,0.80708,0.47415,0.9316,9.0797e-05,9.0797e-05,9.0797e-05
29,3929.41,0.82353,0.37392,0.84972,0.92737,0.86625,0.92575,0.68681,0.8065,0.48387,0.93234,6.3308e-05,6.3308e-05,6.3308e-05
30,4062.12,0.81498,0.36766,0.8487,0.93494,0.8596,0.92412,0.6857,0.80549,0.48547,0.93221,3.5819e-05,3.5819e-05,3.5819e-05
